"Time Stamp","Time Zone","Name","PTID","Load"
"05/14/2023 02:25:00","EDT","GENESE",61753,756.4791
"05/14/2023 02:25:00","EDT","HUD VL",61758,769.8645
"05/14/2023 02:25:00","EDT","LONGIL",61762,1650.3065
"05/14/2023 02:25:00","EDT","MHK VL",61756,574.0403
"05/14/2023 02:25:00","EDT","MILLWD",61759,214.6441
"05/14/2023 02:25:00","EDT","N.Y.C.",61761,4358.816
"05/14/2023 02:25:00","EDT","NORTH",61755,579.7267
"05/14/2023 02:25:00","EDT","WEST",61752,1208.5983
"05/14/2023 02:30:00","EDT","CAPITL",61757,895.1361
"05/14/2023 02:30:00","EDT","CENTRL",61754,1201.8314
"05/14/2023 02:30:00","EDT","DUNWOD",61760,481.77
"05/14/2023 02:30:00","EDT","GENESE",61753,757.0432
"05/14/2023 02:30:00","EDT","HUD VL",61758,781.4907
"05/14/2023 02:30:00","EDT","LONGIL",61762,1651.8977
"05/14/2023 02:30:00","EDT","MHK VL",61756,588.5331
"05/14/2023 02:30:00","EDT","MILLWD",61759,217.0881
"05/14/2023 02:30:00","EDT","N.Y.C.",61761,4347.454
"05/14/2023 02:30:00","EDT","NORTH",61755,569.4215
"05/14/2023 02:30:00","EDT","WEST",61752,1198.354
"05/14/2023 02:35:00","EDT","CAPITL",61757,892.3845
"05/14/2023 02:35:00","EDT","CENTRL",61754,1194.7466
"05/14/2023 02:35:00","EDT","DUNWOD",61760,480.4642
"05/14/2023 02:35:00","EDT","GENESE",61753,755.0231
"05/14/2023 02:35:00","EDT","HUD VL",61758,784.9402
"05/14/2023 02:35:00","EDT","LONGIL",61762,1638.9142
"05/14/2023 02:35:00","EDT","MHK VL",61756,575.9722
"05/14/2023 02:35:00","EDT","MILLWD",61759,213.1603
"05/14/2023 02:35:00","EDT","N.Y.C.",61761,4332.42
"05/14/2023 02:35:00","EDT","NORTH",61755,589.49
"05/14/2023 02:35:00","EDT","WEST",61752,1198.4407
"05/14/2023 02:40:00","EDT","CAPITL",61757,894.6378
"05/14/2023 02:40:00","EDT","CENTRL",61754,1196.2606
"05/14/2023 02:40:00","EDT","DUNWOD",61760,480.9441
"05/14/2023 02:40:00","EDT","GENESE",61753,752.694
"05/14/2023 02:40:00","EDT","HUD VL",61758,781.095
"05/14/2023 02:40:00","EDT","LONGIL",61762,1632.4819
"05/14/2023 02:40:00","EDT","MHK VL",61756,574.5855
"05/14/2023 02:40:00","EDT","MILLWD",61759,211.9502
"05/14/2023 02:40:00","EDT","N.Y.C.",61761,4314.9805
"05/14/2023 02:40:00","EDT","NORTH",61755,578.6527
"05/14/2023 02:40:00","EDT","WEST",61752,1201.5865
"05/14/2023 02:45:00","EDT","CAPITL",61757,900.3613
"05/14/2023 02:45:00","EDT","CENTRL",61754,1182.6023
"05/14/2023 02:45:00","EDT","DUNWOD",61760,488.8826
"05/14/2023 02:45:00","EDT","GENESE",61753,752.4669
"05/14/2023 02:45:00","EDT","HUD VL",61758,770.9176
"05/14/2023 02:45:00","EDT","LONGIL",61762,1617.8767
"05/14/2023 02:45:00","EDT","MHK VL",61756,568.4644
"05/14/2023 02:45:00","EDT","MILLWD",61759,200.5102
